,Tennessee,"28,479","26,070","2,409",,"28,411","26,048","2,363",,-0.2,,-0.1,,-1.9,
,Texas,"172,224","158,036","14,188",,"166,372","152,823","13,549",,-3.4,,-3.3,,-4.5,
,Utah,"6,879","6,266",613,,"6,962","6,323",639,,1.2,,0.9,,4.2,
,Vermont/b,"2,053","1,905",148,,"2,034","1,907",127,,-0.9,,0.1,,-14.2,
,Virginia,"38,130","35,321","2,809",,"37,044","34,150","2,894",,-2.8,,-3.3,,3,
,Washington,"17,847","16,452","1,395",,"17,271","15,934","1,337",,-3.2,,-3.1,,-4.2,
,West Virginia,"6,826","6,074",752,,"7,070","6,265",805,,3.6,,3.1,,7,
,Wisconsin,"22,657","21,472","1,185",,"22,600","21,375","1,225",,-0.3,,-0.5,,3.4,
,Wyoming,"2,183","1,944",239,,"2,204","1,966",238,,1,,1.1,,-0.4,
"Note: Jurisdiction refers to the legal authority of state or federal correctional officials over a prisoner, regardless of where the prisoner is held. Counts are based on prisoners of any sentence length under the jurisdiction of state or federal correctional officials. As of December 31, 2001, sentenced felons from the District of Columbia are the responsibility of the Federal Bureau of Prisons. ",,,,,,,,,,,,,,,
a/Includes inmates held in nonsecure privately operated community corrections facilities and juveniles held in contract facilities.,,,,,,,,,,,,,,,
b/Prisons and jails form one integrated system. Data include total jail and prison populations.,,,,,,,,,,,,,,,
"c/State did not submit 2012 National Prisoner Statistics (NPS) Program data, so population estimates for 2012 are imputed. See Methodology for discussion of imputation strategy.",,,,,,,,,,,,,,,
d/Change in reporting methods. See National Prisoner Statistics Program jurisdiction notes.,,,,,,,,,,,,,,,
"Source: Bureau of Justice Statistics, National Prisoner Statistics Program, 2011–2012.",,,,,,,,,,,,,,,
