,Maine,38,38,0,1.6,,,31,31,0,1.8,
,Maryland,637,624,13,3.2,,,634,621,13,3.4,
,Massachusetts,691,665,26,7.9,,,615,603,12,7.7,
,Michigan/g,555,540,15,1.4,,,555,540,15,1.4,
,Minnesota/g,425,413,12,4.7,,,425,413,12,4.5,
,Mississippi,21,21,0,0.2,,,19,19,0,0.1,
,Missouri/j,239,233,6,0.7,,,239,233,6,0.7,
,Montana/g,16,15,1,0.5,,,16,15,1,0.5,
,Nebraska/g,208,206,2,4.1,,,208,206,2,4.1,
,Nevada/g,"1,210","1,166",44,9.1,,,"1,202","1,159",43,8.8,
,New Hampshire,/,/,/,:,,,/,/,/,:,
,New Jersey/g,"1,280","1,254",26,6.6,,,"1,280","1,254",26,6.6,
,New Mexico/k,/,/,/,:,,,/,/,/,:,
,New York/g,"4,330","4,192",138,8.7,,,"4,330","4,192",138,8.8,
,North Carolina,"1,248","1,213",35,3.4,,,"1,241","1,206",35,3.5,
,North Dakota/k,/,/,/,:,,,/,/,/,:,
,"Ohio/g,l",477,458,19,0.9,,,477,458,19,0.9,
,Oklahoma/m,159,156,3,0.6,,,151,148,3,0.6,
,Oregon/n,"1,473",/,/,10,%,,/,/,/,:,
,Pennsylvania,"2,038","1,997",41,4.3,,,"1,985","1,944",41,4.2,
,Rhode Island/h,/,/,/,:,,,/,/,/,:,
,South Carolina/g,445,428,17,2.3,,,441,425,16,2.3,
,South Dakota/g,86,78,8,2.2,,,86,78,8,2.2,
,Tennessee,368,356,12,1.7,,,368,356,12,1.7,
,Texas/g,"8,826","8,595",231,5.9,,,"8,746","8,518",228,6,
,Utah/j,356,350,6,7.1,,,356,350,6,7.2,
,Vermont/h,8,7,1,0.6,,,3,2,1,0.3,
,Virginia,865,844,21,2.9,,,865,844,21,2.9,
,Washington,746,725,21,4.2,,,745,724,21,4.2,
,West Virginia,24,23,1,0.4,,,24,23,1,0.4,
,Wisconsin,476,463,13,2,,,463,451,12,2.1,
,Wyoming/g,53,52,1,2.2,,,53,52,1,2.2,
"Note: Definition of non-U.S. citizen varies across jurisdictions. Use caution when interpreting these statistics. Unless otherwise noted, citizenship status is based on self-report of the prisoner upon admission to prison. Some jurisdictions use a prisoner’s reported country of birth to determine current citizenship. BJS changed the way it measured citizenship for the 2017 reference year, requesting that National Prisoner Statistics (NPS) respondents include all non-U.S. citizens in the physical custody of state and federal correctional authorities and those held in private prisons, while excluding prisoners held in local jails and in the custody of other jurisdictions. Data collected in the 2017 NPS should not be compared to previous years’ data. See Methodology.",,,,,,,,,,,,
:Not calculated.,,,,,,,,,,,,
/Not reported.,,,,,,,,,,,,
"a/Unless otherwise noted, citizenship status is based on self-reporting by prisoners at time of admission.",,,,,,,,,,,,
b/Includes unsentenced prisoners and those of all sentence lengths.,,,,,,,,,,,,
"c/U.S. and state totals for non-U.S. citizens by sex exclude California and Oregon, which did not report citizenship counts by sex.",,,,,,,,,,,,
"d/Prison population count is the sum of persons held in the custody of state and federally operated facilities and each jurisdiction’s private prison facilities. In 2017, the total custody population in publicly and privately operated state and federal correctional facilities was 1,379,579 (1,197,432 state and 182,147 federal), and the sentenced custody population in those same facilities was 1,339,729 (1,171,372 state and 168,357 federal). These counts exclude custody populations for non-reporting states (New Hampshire, New Mexico, North Dakota, and Rhode Island).",,,,,,,,,,,,
"e/Total U.S. and state counts of non-U.S. citizen prisoners for 2017, and male and female totals, are an undercount due to the exclusion of data from several states that were unable to report this information. The 92.4% of prisoners who are not counted as non-citizens are not necessarily all U.S. citizens, as some may be of unknown citizenship status.",,,,,,,,,,,,
"f/Citizenship data from the 2017 Federal Bureau of Prisons (BOP) should not be compared to previous years’ data. Federal counts are based on country of current citizenship as recorded in the BOP data system and exclude persons detained by U.S. Citizenship and Immigration Services, U.S. Immigration and Customs Enforcement (ICE), or U.S. Customs and Border Protection. In previous years, BOP has provided counts of non-citizens to NPS that were based on a prisoner’s country of birth. ",,,,,,,,,,,,
g/Citizenship data were subject to verification by an external data source.,,,,,,,,,,,,
h/Prisons and jails form one integrated system. Data include total jail and prison populations.,,,,,,,,,,,,
i/Citizenship data were extracted from a state report (https://sites.cdcr.ca.gov/research/wp-content/uploads/sites/9/2018/07/Offender-Data-Points-as-of-December-31-2017-1.pdf) and represented the country of birth as reported by prisoners.,,,,,,,,,,,,
j/Estimate not based on self-reported citizenship status but on the number of offenders with ICE detainers.,,,,,,,,,,,,
k/State did not provide 2017 NPS data. Counts of non-U.S. citizens were imputed based on previous years’ data and included in the state and U.S. totals. ,,,,,,,,,,,,
See Methodology.,,,,,,,,,,,,
l/Counts of non-U.S. citizens exclude those held in privately operated halfway houses.,,,,,,,,,,,,
m/Citizenship based on prisoner-reported country of birth.,,,,,,,,,,,,
n/Citizenship data were extracted from a state report (https://www.oregon.gov/doc/OC/docs/pdf/IB-54-ICE Criminal Aliens.pdf) and was unavailable by sex.,,,,,,,,,,,,
"Source: Bureau of Justice Statistics, National Prisoner Statistics, 2017.",,,,,,,,,,,,
