Bureau of Justice Statistics,,,,,,,,,,
Filename: p11at04.csv,,,,,,,,,,
"Appendix table 4. Sentenced male prisoners under the jurisdiction of state or federal correctional authorities, December 31, 2000, 2010, and 2011",,,,,,,,,,
Report title: Prisoners in 2011 NCJ 239808,,,,,,,,,,
Data source(s): National Prisoner Statistics Program,,,,,,,,,,
Author(s): E. Ann Carson and William J. Sabol,,,,,,,,,,
Refer questions to: askbjs@usdoj.gov or 202-307-0765 ,,,,,,,,,,
Date of version: 12/05/2012,,,,,,,,,,
 ,,,,,,,,,,
"Appendix table 4. Sentenced male prisoners under the jurisdiction of state or federal correctional authorities, December 31, 2000, 2010, and 2011",,,,,,,,,,
,,,,,,,,,,
,,Number of male inmates,,,,,Percent change,,,
,Wisconsin,"18,977","20,756","19,484",94.8,,0.8,,-6.1,
,Wyoming,"1,524","1,881","1,944",89.1,,1.9,,3.3,
"Note: Jurisdiction refers to the legal authority of state or federal correctional officials over a prisoner regardless of where the prisoner is held. Counts based on prisoners with sentences of more than 1 year under the jurisdiction of state or federal correctional officials. As of December 31, 2001, sentenced felons from the District of Columbia are the responsibility of the Federal Bureau of Prisons.",,,,,,,,,,
a/The average annual growth rate from 2000 to 2010.,,,,,,,,,,
b/Includes inmates held in non-secure privately operated community corrections facilities and juveniles held in contract facilities.,,,,,,,,,,
c/Prisons and jails form one integrated system. Data include total jail and prison population.,,,,,,,,,,
d/Prison jurisdiction population based on custody counts.,,,,,,,,,,
e/Includes some prisoners sentenced to 1 year or less.,,,,,,,,,,
f/Counts include dual jurisdiction cases where the inmate is currently housed in another jurisdiction’s facilities.,,,,,,,,,,
g/Includes some prisoners sentenced to 1 year.,,,,,,,,,,
h/The 2010-2011 counts include prisoners sentenced to more than 1 year but held in local jails or houses of correction in the Commonwealth of Massachusetts. See NPS Jurisdiction Notes.,,,,,,,,,,
"Source: Bureau of Justice Statistics, National Prisoner Statistics Program, 2000–2011.",,,,,,,,,,
