,Tennessee,"28,479","26,070","2,409",,"28,411","26,048","2,363",,-0.2,,-0.1,,-1.9,
,Texas,"163,552","151,343","12,209",,"157,900","146,292","11,608",,-3.5,,-3.3,,-4.9,
,Utah,"6,877","6,264",613,,"6,960","6,321",639,,1.2,,0.9,,4.2,
,Vermont/b,"1,598","1,496",102,,"1,516","1,443",73,,-5.1,,-3.5,,-28.4,
,Virginia,"38,130","35,321","2,809",,"37,044","34,150","2,894",,-2.8,,-3.3,,3,
,Washington,"17,808","16,420","1,388",,"17,254","15,920","1,334",,-3.1,,-3,,-3.9,
,West Virginia,"6,803","6,056",747,,"7,027","6,235",792,,3.3,,3,,6,
,Wisconsin,"21,998","20,858","1,140",,"20,474","19,379","1,095",,-6.9,,-7.1,,-3.9,
,Wyoming,"2,183","1,944",239,,"2,204","1,966",238,,1,,1.1,,-0.4,
"Note: Jurisdiction refers to the legal authority of state or federal correctional officials over a prisoner, regardless of where the prisoner is held. Counts are based on prisoners with sentences of more than 1 year under the jurisdiction of state or federal correctional officials. As of December 31, 2001, sentenced felons from the District of Columbia are the responsibility of the Federal Bureau of Prisons. ",,,,,,,,,,,,,,,
a/Includes inmates held in nonsecure privately operated community corrections facilities and juveniles held in contract facilities.,,,,,,,,,,,,,,,
b/Prisons and jails form one integrated system. Data include total jail and prison populations.,,,,,,,,,,,,,,,
"c/State did not submit 2012 National Prisoner Statistics (NPS) Program data, so population estimates for 2012 are imputed. See Methodology for discussion of imputation strategy.",,,,,,,,,,,,,,,
d/Change in reporting methods. See National Prisoner Statistics Program jurisdiction notes.,,,,,,,,,,,,,,,
"Source: Bureau of Justice Statistics, National Prisoner Statistics Program, 2011–2012.",,,,,,,,,,,,,,,
