Bureau of Justice Statistics,,,,,,,,,,,,,,,
Filename: p12tar9112t16.csv,,,,,,,,,,,,,,,
"Table 16. California state prison releases, by type of release and county of sentencing, 2012",,,,,,,,,,,,,,,
Report title: Prisoners in 2012: Trends in Admissions and Releases 1991-2012 NCJ 243920,,,,,,,,,,,,,,,
"Data source(s): National Corrections Reporting Program, Department of Finance, State of California",,,,,,,,,,,,,,,
Author(s): E. Ann Carson and Daniela Golinelli,,,,,,,,,,,,,,,
Refer questions to: askbjs@usdoj.gov or 202-307-0765 ,,,,,,,,,,,,,,,
Date of version: 12/19/2013,,,,,,,,,,,,,,,
 ,,,,,,,,,,,,,,,
"Table 16. California state prison releases, by type of release and county of sentencing, 2012",,,,,,,,,,,,,,,
,,All releases,,,,Unconditional releases/a,,,,Conditional releases/b,,,,County general population,
San Luis Obispo,,254,0.5,,,148,58.3,,,104,40.9,,,"271,021",9.4
San Mateo,,519,1.1,,,305,58.8,,,213,41,,,"736,362",7
Santa Barbara,,548,1.1,,,335,61.1,,,212,38.7,,,"427,358",12.8
Santa Clara,,"1,536",3.2,,,825,53.7,,,691,45,,,"1,828,597",8.4
Santa Cruz,,144,0.3,,,77,53.5,,,67,46.5,,,"267,569",5.4
Shasta,,436,0.9,,,310,71.1,,,121,27.8,,,"178,477",24.4
Sierra,,7,0,,,4,57.1,,,3,42.9,,,"3,089",22.7
Siskiyou,,76,0.2,,,46,60.5,,,27,35.5,,,"44,598",17
Solano,,502,1,,,327,65.1,,,175,34.9,,,"415,913",12.1
Sonoma,,369,0.8,,,220,59.6,,,146,39.6,,,"489,283",7.5
Stanislaus,,870,1.8,,,589,67.7,,,277,31.8,,,"522,651",16.6
Sutter,,174,0.4,,,102,58.6,,,72,41.4,,,"95,351",18.2
Tehama,,183,0.4,,,136,74.3,,,46,25.1,,,"63,623",28.8
Trinity,,8,0,,,2,25,,,5,62.5,,,"13,470",5.9
Tulare,,746,1.5,,,437,58.6,,,303,40.6,,,"451,627",16.5
Tuolumne,,77,0.2,,,43,55.8,,,32,41.6,,,"54,339",14.2
Ventura,,692,1.4,,,399,57.7,,,288,41.6,,,"834,109",8.3
Yolo,,398,0.8,,,281,70.6,,,115,28.9,,,"204,314",19.5
Yuba,,212,0.4,,,125,59,,,87,41,,,"73,021",29
"Note: Counts based on prisoners with a sentence of more than 1 year. Counts exclude transfers, escapes, and those absent without leave (AWOL). Totals include deaths, releases to appeal or bond, and other releases. See Methodology. Analysis based on National Corrections Reporting Program administrative data, which may vary slightly from National Prisoner Statistics Program data  due to differences in data collection and missing data.",,,,,,,,,,,,,,,
~ Not applicable.,,,,,,,,,,,,,,,
/ Not calculated.,,,,,,,,,,,,,,,
"a/County in which inmate was originally sentenced.  In California, inmates are released to the county in which they were sentenced.",,,,,,,,,,,,,,,
"b/Includes expirations of sentence, communtations, and other unconditional releases.",,,,,,,,,,,,,,,
"c/Includes releases to probation, supervised mandatory releases, and other unspecified conditional releases.",,,,,,,,,,,,,,,
"d/Preliminary county population counts for July 1, 2012 obtained from State of California, Department of Finance, E-2. California County Population Estimates and Components of Change by Year—July 1, 2010–2012, December 2012.",,,,,,,,,,,,,,,
"e/Prison release rate per 10,000 California county residents of all ages. ",,,,,,,,,,,,,,,
"Source: Bureau of Justice Statistics, National Corrections Reporting Program, 2010, 2011, and 2012, and Department of Finance, State of California.",,,,,,,,,,,,,,,
