Bureau of Justice Statistics,,,,,,,,,,,,,,
Filename: p13t12.csv,,,,,,,,,,,,,,
"Table 12. Prisoners held in the custody of private prisons and local jails, December 31, 2012 and 2013",,,,,,,,,,,,,,
Report title: Prisoners in 2013 NCJ 247282,,,,,,,,,,,,,,
Data source(s): National Prisoner Statistics Program,,,,,,,,,,,,,,
Author(s): E. Ann Carson,,,,,,,,,,,,,,
Refer questions to: askbjs@usdoj.gov or 202-307-0765 ,,,,,,,,,,,,,,
Date of version: 08/27/2014,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
"Table 12. Prisoners held in the custody of private prisons and local jails, December 31, 2012 and 2013",,,,,,,,,,,,,,
,,Inmates held in private prisons/a,,,,,,,Inmates held in local jails,,,,,
,South Carolina,16,15,-6.3,,0.1,,,374,364,-2.7,,1.7,
,South Dakota,15,16,6.7,,0.4,,,64,53,-17.2,,1.5,
,Tennessee,"5,165","5,103",-1.2,,17.9,,,"8,618","7,790",-9.6,,27.3,
,Texas,"18,617","14,538",-21.9,,8.6,,,"10,814","12,527",15.8,,7.4,
,Utah,0,0,~,,0,,,"1,574","1,626",3.3,,23,
,Vermont/c,504,499,-1,,24,,,0,0,~,,0,
,Virginia/f,"1,559","1,554",-0.3,,4.2,,,"7,389","6,974",--,,18.9,
,Washington,0,0,~,,0,,,279,163,-41.6,,0.9,
,West Virginia,0,0,~,,0,,,"1,735","1,116",-35.7,,16.4,
,Wisconsin,18,0,-100,,0,,,70,11,-84.3,,0,
,Wyoming,236,252,6.8,,10.9,,,4,16,300,,0.7,
"Note: As of December 31, 2001, sentenced felons from the District of Columbia are the responsibility of the Federal Bureau of Prisons.",,,,,,,,,,,,,,
/Not reported.,,,,,,,,,,,,,,
 --Not calculated.,,,,,,,,,,,,,,
~Not applicable.,,,,,,,,,,,,,,
"a/Includes prisoners held in the jurisdiction’s own private facilities, as well as private facilities in another state.",,,,,,,,,,,,,,
"b/Includes federal prisoners held in nonsecure, privately operated facilities (9,255), as well as prisoners on home confinement (3,076).",,,,,,,,,,,,,,
c/Prisons and jails form one integrated system. Data include total jail and prison populations.,,,,,,,,,,,,,,
"d/During 2013, all Alaska prison inmates held in out-of-state private facilities were moved to a new in-state public facility.",,,,,,,,,,,,,,
e/Nevada did not submit 2012 or 2013 NPS data. See Methodology.,,,,,,,,,,,,,,
f/Count is not comparable to previous years due to a change in reporting methodology for inmates in local jails in 2013.,,,,,,,,,,,,,,
"Source: Bureau of Justice Statistics, National Prisoner Statistics Program, 2012–2013.",,,,,,,,,,,,,,
