Bureau of Justice Statistics,,,,,,,,,,,,,,
Filename: p20stt16.csv,,,,,,,,,,,,,,
"Table 16. Sentenced prisoners in the custody of state correctional authorities and privately operated facilities contracted to states, by most serious offense and jurisdiction, December 31, 2019",,,,,,,,,,,,,,
Report title: Prisoners in 2020 – Statistical Tables NCJ 302776,,,,,,,,,,,,,,
"Data source: Bureau of Justice Statistics, National Corrections Reporting Program, 2019",,,,,,,,,,,,,,
"Author: E. Ann Carson, Ph.D., BJS Statistician",,,,,,,,,,,,,,
Refer questions to: askbjs@usdoj.gov 202-307-0765,,,,,,,,,,,,,,
Date of version: 12/14/2021,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
"Table 16. Sentenced prisoners in the custody of state correctional authorities and privately operated facilities contracted to states, by most serious offense and jurisdiction, December 31, 2019",,,,,,,,,,,,,,
Jurisdiction,,Total number of sentenced prisoners in custody,Total/a,,Violent,,Property,,Drug,,Public order,,Other/unspecified,
,Rhode Island/b,"1,710",100,%,66.3,,10.9,,12.6,,9,,1.3,
,South Carolina,"18,754",100,%,56.5,,21.3,,17,,4.4,,0.8,
,South Dakota,"3,708",100,%,45.3,,15.2,,30,,6.8,,0.6,
,Tennessee,"31,557",100,%,48.3,,20.5,,21.5,,6.9,,2.1,
,Texas,"136,345",100,%,60,,12.1,,15,,12.9,,0,
,Utah,"6,605",100,%,58.5,,18,,14.7,,8.8,,0.1,
,Vermont/b,"1,280",100,%,60.6,,18.7,,7,,12.8,,1,
,Virginia,"34,333",100,%,54.2,,15.5,,12.5,,3.4,,0.1,
,Washington,"17,650",100,%,56,,18.6,,8.6,,16.3,,0.3,
,West Virginia,"6,773",100,%,47.4,,23.3,,11.6,,13.7,,4,
,Wisconsin,"23,792",100,%,56.7,,13.1,,14.5,,15.6,,#,
,Wyoming,"2,478",100,%,51.1,,15,,24.3,,9,,#,
"Note: Details may not sum to totals due to rounding and missing offense data. Unless otherwise noted, data represent prisoners in the physical custody of state correctional authorities, or those held for the state in privately operated prison facilities on December 31, 2019. Analysis limited to prisoners sentenced to more than 1 year. For prisoners convicted of more than one offense, BJS defines the most serious offense as the offense with the longest sentence. States can report up to three offenses in the National Corrections Reporting Program (NCRP) and are asked to single out the offense with the longest sentence. If they do not identify the offense with the longest sentence, BJS assumes an order of sentencing that prioritizes violent offenses, followed by property, drug, and public order crimes. See table 13 for a breakdown of crimes included in each major type of offense.",,,,,,,,,,,,,,
#Rounds to zero.,,,,,,,,,,,,,,
a/Includes prisoners with unknown offenses.,,,,,,,,,,,,,,
b/Prisons and jails form one integrated system. Data include total jail and prison populations.,,,,,,,,,,,,,,
"c/NCRP data are from December 31, 2018.",,,,,,,,,,,,,,
"d/NCRP data are from December 31, 2016.",,,,,,,,,,,,,,
"e/NCRP data are from December 31, 2017.",,,,,,,,,,,,,,
"Sources: Bureau of Justice Statistics, National Corrections Reporting Program, 2019.",,,,,,,,,,,,,,
