,Washington,0,0,0,0,,0,,196,132,-64,-32.7,,0.8,
,West Virginia,0,0,0,0,,0,,890,"2,051","1,161",130.4,,33.9,
,Wisconsin,~,~,:,:,,:,,511,322,-189,-37,,1.6,
,Wyoming,401,259,-142,-35.4,,12.4,,81,6,-75,-92.6,,0.3,
"Note: For jurisdiction-level information, see Jurisdiction notes on the BJS website. Counts are for December 31 of each year. As of December 31, 2001, sentenced felons from the District of Columbia were the responsibility of the Federal Bureau of Prisons. Multiple states reported large changes in prison populations, admissions, and releases between 2019 and 2020 due to criminal justice reforms enacted to address the COVID-19 pandemic. Because these differences were not the result of changes in reporting methods, BJS made direct comparisons of 2019 and 2020 data, understanding that the criminal justice reforms may be temporary.",,,,,,,,,,,,,,,
:Not calculated.,,,,,,,,,,,,,,,
~Not applicable.,,,,,,,,,,,,,,,
/Not reported.,,,,,,,,,,,,,,,
a/Includes prisoners held in private facilities in the jurisdiction of another state.,,,,,,,,,,,,,,,
"b/Includes federal prisoners held in nonsecure privately operated facilities (7,993) and prisoners on home confinement (5,741). Excludes persons held in immigration detention facilities pending adjudication.",,,,,,,,,,,,,,,
c/Prisons and jails form one integrated system. Data include total jail and prison populations.,,,,,,,,,,,,,,,
d/State submitted updated 2019 population counts for prisoners held in private prisons.,,,,,,,,,,,,,,,
e/California stopped housing prisoners in out-of-state private facilities in 2019 and in-state private facilities in 2020.,,,,,,,,,,,,,,,
f/Includes prisoners in facilities owned by the state but staffed by employees of a private correctional company.,,,,,,,,,,,,,,,
"g/Totals for 2019 include imputed counts for Oregon, which did not submit 2019 National Prisoner Statistics data. BJS estimated counts of prisoners held in local jails and private facilities and included these estimates in the U.S. and state totals. See Methodology in this report and in Prisoners in 2019 (NCJ 255115, BJS, October 2020).",,,,,,,,,,,,,,,
"Source: Bureau of Justice Statistics, National Prisoner Statistics, 2019 and 2020.",,,,,,,,,,,,,,,
