"    District of Columbia"," ..."," ..."," ...",," ...",," ...",,,1746,1746,,1746
"    Florida"," ...",76518,56607,,89,,121,,,76518,56607,,68411
"    Georgia"," ...",46526," ...",,89,,89,,,46526,46526,,41376
"    Kentucky",11680,11430," ...",,92,,94,,,11680,11430,,10720
"    Louisiana",19660,19931," ...",,99,,100,,,19931,19660,,19660
"    Maryland"," ...",23874," ...",,99,,99,,,23874,23874,,23611
"    Mississippi/c"," ...",16072," ...",,94,,94,,,16072,16072,,15131
"    North Carolina",29254," ...",29254,,110,,110,,,29254,29254,,32247
"    Oklahoma/c"," ...",23304," ...",,93,,93,,,23304,23304,,21719
"    South Carolina"," ...",23325,21861,,93,,99,,,23325,21861,,21713
"    Tennessee/c",18162,17729," ...",,96,,99,,,18162,17729,,17466
"    Texas/c,d",156738,153099,156738,,95,,97,,,156738,153009,,148480
"    Virginia",32117," ..."," ...",,93,,93,,,32117,32117,,29906
"    West Virginia"," ...",3539,3189,,96,,107,,,3539,3189,,3403
,,,,,,,,,,,,,
"  West",,,,,,,,,,,,,
"    Alaska/e",2603,2691,2603,,109,"%",113,"%",,2691,2603,,2935
"    Arizona"," ...",27948," ...",,99,,99,,,27948,27948,,27710
"    California"," ...",150536,79957,,101,,191,,,150536,79957,,152690
"    Colorado"," ...",12922,11748,,115,,127,,,12922,11748,,14888
"    Hawaii"," ...",3406,2481,,113,,156,,,3406,2481,,3865
"    Idaho",3980,3781,3194,,99,,123,,,3980,3194,,3922
"    Montana"," ...",1370,896,,125,,191,,,1370,896,,1708
"    Nevada/c",10548," ...",8312,,93,,118,,,10548,8312,,9811
"    New Mexico/c",6106,6106,5986,,93,,95,,,6106,5986,,5668
"    Oregon"," ...",11298,11008,,97,,99,,,11298,11008,,10941
"    Utah"," ...",4286,4509,,92,,92,,,4509,4286,,4151
"    Washington",9898,12793,12793,,154,,119,,,12793,9898,,15226
"    Wyoming",1114,1052,1141,,89,,97,,,1141,1052,,1021
,,,,,,,,,,,,,
"             ","                ","         ","            ","         ","             ","        ","            ","       ",,,,,
" ... Data not available.",,,,,,,,,,,,,
" --Not calculated.  (See Jurisdiction notes.)",,,,,,,,,,,,,
"a/Population counts are based on the number of inmates held in facilities operated by the jurisdiction.  Excludes inmates held in local jails, in other States, or in private facilities. ",,,,,,,,,,,,,
"b/Connecticut no longer reports capacity because of a law passed in 1995.",,,,,,,,,,,,,
"c/Includes capacity of private and contract facilities and inmates housed in them. ",,,,,,,,,,,,,
"d/Excludes capacity of county facilities and inmates housed in them. ",,,,,,,,,,,,,
"e/Capacity counts for 2000 were used as an estimate for capacity for yearend 2001.",,,,,,,,,,,,,
