"Midwest",,4784,,2.1,"%",,2735,,1.2,"%",,1806,,0.8,
"   Illinois",,0,,0.0,,,0,,0.0,,,33,,0.1,
"   Indiana",,936,,4.8,,,1224,,6.3,,,0,,0.0,
"   Iowa",,0,,0.0,,,0,,0.0,,,0,,0.0,
"   Kansas",,0,,0.0,,,0,,0.0,,,99,,1.2,
"   Michigan",,301,,0.6,,,262,,0.6,,,774,,1.7,
"   Minnesota",,80,,1.3,,,174,,2.9,,,165,,2.8,
"   Missouri",,0,,0.0,,,0,,0.0,,,56,,0.2,
"   Nebraska",,0,,0.0,,,0,,0.0,,,32,,0.9,
"   North Dakota",,0,,0.0,,,24,,2.5,,,18,,1.9,
"   Ohio",,0,,0.0,,,0,,0.0,,,45,,0.1,
"   South Dakota",,46,,1.8,,,0,,0.0,,,22,,0.9,
"   Wisconsin",,3421,,16.8,,,1051,,5.1,,,562,,2.8,
,,,,,,,,,,,,,,,
"South",,44656,,8.1,"%",,46585,,8.5,"%",,2364,,0.4,
"   Alabama",,0,,0.0,,,1375,,5.6,,,432,,1.8,
"   Arkansas",,1224,,10.7,,,703,,6.2,,,0,,0.0,
"   Delaware",,0,,0.0,,,"  -- ",,"  -- ",,,290,,4.2,
"   District of Columbia",,4024,,46.5,,,"  -- ",,"  -- ",,,1287,,14.9,
"   Florida",,3773,,5.4,,,0,,0.0,,,0,,0.0,
"   Georgia",,3001,,7.1,,,3757,,8.9,,,0,,0.0,
"   Kentucky",,1700,,11.1,,,3221,,21.0,,,15,,0.1,
"   Louisiana",,3080,,9.0,,,14892,,43.7,,,0,,0.0,
"   Maryland",,131,,0.6,,,141,,0.6,,,52,,0.2,
"   Mississippi",,3429,,18.8,,,3349,,18.4,,,"...",,"...",
"   North Carolina",,1395,,4.5,,,47,,0.2,,,0,,0.0,
"   Oklahoma",,6228,,27.8,,,1056,,4.7,,,0,,0.0,
"   South Carolina",,0,,0.0,,,461,,2.1,,,288,,1.3,
"   Tennessee",,3476,,15.4,,,5716,,25.4,,,0,,0.0,
"   Texas",,11653,,7.1,,,7131,,4.4,,,0,,0.0,
"   Virginia",,1542,,4.8,,,4084,,12.6,,,0,,0.0,
"   West Virginia",,0,,0.0,,,652,,18.5,,,0,,0.0,
,,,,,,,,,,,,,,,
"West",,15401,,5.8,"%",,8015,,3.0,"%",,1481,,0.6,
"   Alaska",,1387,,35.1,,,"  -- ",,"  -- ",,,33,,0.8,
"   Arizona",,1392,,5.4,,,17,,0.1,,,91,,0.4,
"   California",,4621,,2.8,,,2826,,1.7,,,640,,0.4,
"   Colorado/c",,0,,0.0,,,2675,,17.1,,,0,,0.0,
"   Hawaii",,1168,,23.8,,,"  -- ",,"  -- ",,,31,,0.6,
"   Idaho",,400,,8.3,,,431,,8.9,,,96,,2.0,
"   Montana",,726,,24.6,,,831,,28.1,,,"...",,"...",
"   Nevada",,561,,5.9,,,157,,1.7,,,206,,2.2,
"   New Mexico",,1873,,36.6,,,153,,3.0,,,105,,2.0,
"   Oregon",,0,,0.0,,,10,,0.1,,,75,,0.8,
"   Utah",,248,,4.6,,,879,,16.2,,,112,,2.1,
"   Washington/b",,331,,2.3,,,0,,0.0,,,73,,0.5,
"   Wyoming",,281,,16.4,,,36,,2.1,,,19,,1.1,
,,,,,,,,,,,,,,,
"Note:  Some inmates held in private facilities may be in local jails or out of State.  ",,,,,,,,,,,,,,,
"--Not applicable.  Prison and jails form an integrated system.",,,,,,,,,,,,,,,
"-Not reported.",,,,,,,,,,,,,,,
"a/Based on the total number of inmates under State or Federal jurisdiction.",,,,,,,,,,,,,,,
"b/Inmates held in other State facilities include interstate compact cases.",,,,,,,,,,,,,,,
"c/Colorado housed 2,413 inmates in private facilities under contract to local jails.",,,,,,,,,,,,,,,
