"  West",16836,,6.2,"%",5193,,1.9,"%",1637,,0.6,"%",,,273446
"    Alaska",1441,,31.7,," -- ",," -- ",,1,,0.0,,,,4546
"    Arizona",1429,,5.2,,349,,1.3,,101,,0.4,,,,27710
"    California",4452,,2.8,,2727,,1.7,,628,,0.4,,,,159444
"    Colorado",2390,,13.7,,129,,0.7,,0,,0.0,,,,17448
"    Hawai",1251,,22.9,," -- ",," -- ",,29,,0.5,,,,5454
"    Idaho",1348,,22.4,,249,,4.1,,91,,1.5,,,,6006
"    Montana",1087,,32.7,,496,,14.9,,37,,1.1,,,,3328
"    Nevada",478,,4.7,,188,,1.8,,205,,2.0,,,,10201
"    New Mexico",2484,,43.8,,0,,0.0,,18,,0.3,,,,5668
"    Oregon",0,,0.0,,8,,0.1,,209,,1.8,,,,11455
"    Utah",0,,0.0,,1020,,19.1,,146,,2.7,,,,5343
"    Washington/c",0,,0.0,,0,,0.0,,81,,0.5,,,,15159
"    Wyoming",476,,28.3,,27,,1.6,,91,,5.4,,,,1684
"                                                 ",,,,,"                                           ",,,,,,"               ",,,,
,,,,,,,,,,,,,,,
" -- Not applicable. Prison and jails form an integrated system.",,,,,,,,,,,,,,,
"a/Based on the total number of inmates under State or Federal jurisdiction.",,,,,,,,,,,,,,,
"b/Includes 6,515 Federal inmates in non-secure privately operated facilities.",,,,,,,,,,,,,,,
"c/Inmates held in other State facilities include interstate compact cases. ",,,,,,,,,,,,,,,
